;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Fin atencion Balanza;422;9;18hs 10min 3s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;..hs ..min ..s;0;Ocupado;412;0hs 1min 36s;1;Ocupado;413;0hs 14min 11s;13;9;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;412;9;18hs 11min 39s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;414;0hs 19min 39s;2;Ocupado;413;0hs 12min 34s;13;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;413;9;18hs 24min 14s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;414;0hs 7min 4s;2;Ocupado;415;0hs 7min 4s;14;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;414;9;18hs 31min 19s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;416;0hs 18min 41s;3;Ocupado;415;0hs 11min 25s;14;6;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;415;9;18hs 42min 45s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;416;0hs 7min 15s;3;Ocupado;417;0hs 7min 15s;15;5;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;416;9;18hs 50min 1s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;418;0hs 19min 58s;4;Calibrando;----;0hs 0min 15s;----;4;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin calibracion Darsena 2;----;9;18hs 50min 17s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;418;0hs 19min 42s;4;Libre;----;0hs 0min 0s;1;4;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;419;9;19hs 9min 23s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;418;0hs 0min 36s;4;Ocupado;420;0hs 0min 36s;2;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;418;9;19hs 10min 0s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;421;0hs 17min 37s;5;Ocupado;420;0hs 17min 48s;2;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;421;9;19hs 27min 38s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;422;0hs 19min 33s;6;Ocupado;420;0hs 0min 10s;2;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;420;9;19hs 27min 49s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Ocupado;422;0hs 19min 22s;6;Libre;----;..hs ..min ..s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;422;9;19hs 47min 12s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Apertura de planta;----;10;5hs -1min 0s;----;Libre;----;----;3;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;423;10;5hs 5min 59s;0hs 0min 0s;Ocupado;424;0hs 6min 0;1;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;423;10;5hs 11min 8s;0hs 0min 0s;Ocupado;424;0hs 0min 51s;1;Libre;----;..hs ..min ..s;0;Libre;----;0hs 0min 0s;7;Libre;----;0hs 0min 0s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;424;10;5hs 12min 0s;0hs 0min 0s;Ocupado;425;0hs 3min 25;0;Libre;----;0hs 0min 0s;1;Ocupado;423;0hs 17min 3s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;425;10;5hs 15min 26s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;424;0hs 1min 55s;1;Ocupado;423;0hs 13min 37s;7;Libre;----;0hs 0min 0s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;424;10;5hs 17min 21s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;425;..hs ..min ..s;0;Ocupado;423;0hs 11min 42s;7;Libre;----;0hs 0min 0s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;425;10;5hs 22min 53s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;423;0hs 6min 10s;7;Ocupado;424;0hs 11min 2s;3;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;423;10;5hs 29min 3s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;425;0hs 18min 56s;8;Ocupado;424;0hs 4min 51s;3;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;424;10;5hs 33min 55s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;425;0hs 14min 4s;8;Libre;----;..hs ..min ..s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;425;10;5hs 48min 0s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;9;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Apertura de puertas;----;10;12hs 0min 0s;----;Libre;----;----;0;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;426;10;12hs 7min 0s;0hs 24min 29s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;9;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;426;10;12hs 13min 11s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;9;Libre;----;0hs 0min 0s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;426;10;12hs 29min 27s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;10;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;427;10;12hs 31min 30s;0hs 15min 51s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;10;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;427;10;12hs 37min 0s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;10;Libre;----;0hs 0min 0s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;428;10;12hs 47min 22s;0hs 2min 51s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;427;0hs 6min 3s;10;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;429;10;12hs 50min 14s;0hs 11min 13s;Ocupado;428;0hs 3min 55s;1;Libre;----;0hs 0min 0s;0;Ocupado;427;0hs 3min 11s;10;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;427;10;12hs 53min 25s;0hs 0min 0s;Ocupado;428;0hs 0min 43s;1;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;11;Libre;----;0hs 0min 0s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;428;10;12hs 54min 9s;0hs 0min 0s;Ocupado;429;0hs 6min 20;0;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;11;Libre;----;0hs 0min 0s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;429;10;13hs 0min 30s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;0;Ocupado;428;0hs 12min 35s;11;Libre;----;0hs 0min 0s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;430;10;13hs 1min 28s;0hs 0min 46s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;428;0hs 11min 37s;11;Ocupado;429;0hs 16min 29s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;431;10;13hs 2min 15s;0hs 0min 23s;Ocupado;430;0hs 3min 52s;1;Libre;----;0hs 0min 0s;0;Ocupado;428;0hs 10min 50s;11;Ocupado;429;0hs 15min 42s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;432;10;13hs 2min 39s;0hs 0min 25s;Ocupado;430;0hs 3min 28s;2;Libre;----;0hs 0min 0s;0;Ocupado;428;0hs 10min 26s;11;Ocupado;429;0hs 15min 18s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;433;10;13hs 3min 5s;0hs 5min 44s;Ocupado;430;0hs 3min 2s;3;Libre;----;0hs 0min 0s;0;Ocupado;428;0hs 10min 0s;11;Ocupado;429;0hs 14min 52s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;430;10;13hs 6min 7s;0hs 0min 0s;Ocupado;431;0hs 3min 39;2;Libre;----;0hs 0min 0s;1;Ocupado;428;0hs 6min 58s;11;Ocupado;429;0hs 11min 50s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;434;10;13hs 8min 50s;0hs 6min 53s;Ocupado;431;0hs 0min 57s;3;Ocupado;430;0hs 2min 49s;0;Ocupado;428;0hs 4min 15s;11;Ocupado;429;0hs 9min 7s;4;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
